sequence, count
we 're rich we 're rich, 9
're rich we 're rich we, 6
rich we 're rich we 're, 6
what are we gon na do, 5
let 's get out of here, 5
there must be something we can, 4
must be something we can do, 4
we 're gon na have to, 4
go back to paradise estate and, 4
all we have to do is, 4
all you have to do is, 4
what are we going to do, 3
save the rest of the flutter, 3
the rest of the flutter ponies, 3
it wo n't be long now, 3
hates me she hates me not, 3
what am i going to do, 3
we 'll find a way to, 3
into glass before they ruin everything, 2
let 's see what we can, 2
it 's got to be around, 2
where do you think you 're, 2
the flutter ponies are coming back, 2
the rest of you stay here, 2
too late too late too late, 2
a way to make it rain, 2
we all have to work together, 2
more important things to worry about, 2
like it 's gon na rain, 2
i 'll just take your shadow, 2
this is your last chance to, 2
we 've got to be careful, 2
looks like it 's gon na, 2
've got to get out of, 2
is one even when it is, 2
do n't give up flutter ponies, 2
nice to have everything back to, 2
are we glad to see you, 2
just the way we like it, 2
it ca n't hurt to try, 2
have to get the sunstone back, 2
bet you ca n't catch me, 2
so we can get out of, 2
now all we have to do, 2
to have everything back to normal, 2
your last chance to capture all, 2
if it 's the last thing, 2
way to go way to go, 2
got to rescue the princess ponies, 2
it 's the last thing i, 2
're gon na have to go, 2
banished to the realm of darkness, 2
what are you gon na do, 2
is your last chance to capture, 2
see what we can do about, 2
'll find a way to get, 2
but how do we get past, 2
the other half of the amulet, 2
we 've got to tell them, 2
something that is one even when, 2
time for thanks no time for, 2
i think it 's that way, 2
got a long way to go, 2
that is one even when it, 2
hydia hates me she hates me, 2
i just might be able to, 2
yeah yeah yeah yeah yeah yeah, 2
find a way to get the, 2
's the last thing i do, 2
i do n't know where it, 2
got to be around here somewhere, 2
for thanks no time for thanks, 2
winking out is against the rules, 2
the rainbow of light is the, 2
one even when it is many, 2
did n't wan na do it, 2
be something we can do to, 2
i 'll be " it ", 2
've got a long way to, 2
so what are we waiting for, 2
well what are we waiting for, 2
last chance to capture all those, 2
we can get out of here, 2
good deed for you to do, 2
's see what we can do, 2
i 'm going for the double, 2
the witches from the volcano of, 2
no time for thanks no time, 2
's go back to paradise estate, 2
i know it 's here somewhere, 2
and i ca n't even make, 2
've got to rescue the princess, 2
we 've got to rescue the, 2
there 's got to be a, 2
we 've got to do something, 2
's got to be a way, 2
