sequence, count
the great and powerful trixie, 16
cause tomorrow spring is here, 15
wrap up winter wrap up, 14
winter wrap up winter wrap, 14
i 'm the one who, 13
la la la la la, 10
i ca n't wait to, 10
really really really really really, 10
i do n't know what, 10
you do the pony pokey, 8
i do n't wan na, 8
found her i found her, 7
we do n't have time, 7
well i 'm gon na, 7
i found her i found, 7
do n't have time for, 7
you do n't wan na, 7
we 're gon na be, 7
i 've never seen anything, 7
if you 'll excuse me, 6
at the grand galloping gala, 6
your faithful student twilight sparkle, 6
you do n't have to, 6
i do n't think i, 6
i do n't get it, 6
i do n't even know, 6
do n't wan na be, 6
to the grand galloping gala, 6
we are the cutie mark, 6
are the cutie mark crusaders, 6
i 'm gon na prove, 6
i do n't think so, 6
wo n't be able to, 6
this is gon na be, 6
i 'm gon na do, 5
the best place for me, 5
this is no time for, 5
now it 's time to, 5
ca n't wait to hear, 5
i ca n't believe i, 5
i 'm gon na have, 5
do n't even know what, 5
i 'm not gon na, 5
her i found her i, 5
you think you 're doing, 5
i do n't believe it, 5
you 'll excuse me i, 5
do you think you 're, 5
the marzipan mascarpone meringue madness, 5
have a very special somepony, 5
i guess you 're right, 5
what do you think you, 5
the star swirl the bearded, 5
i do n't know how, 5
that 's what i 'm, 5
we 'll just have to, 5
's finish our holiday cheer, 5
star swirl the bearded wing, 5
now if you 'll excuse, 5
what are you doing here, 5
i 'm at the grand, 5
where did they come from, 5
the running of the leaves, 5
i do n't have a, 5
i 'm gon na go, 5
i know what you 're, 5
why did n't you say, 5
let 's finish our holiday, 5
'm at the grand galloping, 5
i 'm a little busy, 5
the grand galloping gala is, 5
do n't know what to, 5
his father before him and, 4
gon na prove to you, 4
to find out who we, 4
and i 'm gon na, 4
now quiet now it 's, 4
she 's gon na help, 4
i knew you could do, 4
n't know what to say, 4
i got my cutie mark, 4
who 's a good boy, 4
as in " this afternoon, 4
grand galloping gala is the, 4
and his father before him, 4
i do n't have time, 4
did n't you say so, 4
gala is the best place, 4
about you do the pony, 4
oh the grand galloping gala, 4
why do n't you just, 4
well why did n't you, 4
i do n't care what, 4
i 'm gon na be, 4
in " this afternoon ", 4
do n't have much time, 4
'm going to have to, 4
in the star swirl the, 4
's get this over with, 4
you got ta shaaare you, 4
am i gon na do, 4
let 's get this over, 4
thank you so much for, 4
'm gon na prove to, 4
i 'm gon na get, 4
i 'm going to have, 4
knew you could do it, 4
out who we are and, 4
is the best place for, 4
" this afternoon " this, 4
i ca n't believe it, 4
hush now quiet now it, 4
this afternoon " this afternoon, 4
are we gon na do, 4
to get a cutie mark, 4
are n't you gon na, 4
've got a real problem, 4
what are you all doing, 4
pin the tail on the, 4
galloping gala is the best, 4
need to talk to you, 4
got ta shaaare you got, 4
quiet now it 's time, 4
hundred and fifty wing power, 4
nothing to be afraid of, 4
you 've got to listen, 4
if it were n't for, 4
a hop skip and jump, 4
i do n't know if, 4
by the end of the, 4
do n't you think you, 4
what are we gon na, 4
find out who we are, 4
i need to talk to, 4
'm the one who 's, 4
who are you talking to, 4
are you sure you 're, 4
what am i gon na, 4
ta shaaare you got ta, 4
shaaare you got ta caaare, 4
've never seen anything like, 4
do n't have time to, 4
the tail on the pony, 4
gom player to experience the, 3
's applejack it 's rainbow, 3
i 'm gon na need, 3
my very first nightmare night, 3
highest video and audio quality, 3
it 's a right thing, 3
need all the help we, 3
a dungeon in the place, 3
's all in good fun, 3
when somepony tries to block, 3
'm not sure i can, 3
of the summer sun celebration, 3
to fly stick a cupcake, 3
we have our cutie marks, 3
i ca n't believe you, 3
pie you are so random, 3
gom player is used by, 3
when i was a little, 3
around the world find out, 3
i do n't need to, 3
of people around the world, 3
on the magic of friendship, 3
think i 'm gon na, 3
that i as a good, 3
and we will never stop, 3
show them that you rock, 3
player is used by millions, 3
find the elements back where, 3
father before him and his, 3
to have to wait for, 3
i ca n't believe we, 3
the foal free press is, 3
not until we have our, 3
how am i supposed to, 3
are we glad to see, 3
caaare it 's a right, 3
that 's what i said, 3
've tried everything i know, 3
heart faithful and strong sharing, 3
for the summer sun celebration, 3
what do we do now, 3
to go to the gala, 3
your hooves and do a, 3
of the elements of harmony, 3
hope to fly stick a, 3
are you all doing here, 3
clap your hooves and do, 3
we are and we will, 3
stick a cupcake in my, 3
adventure tons of fun a, 3
're gon na have to, 3
on a quest to find, 3
magic makes it all complete, 3
big mac and miss cheerilee, 3
have the best night ever, 3
got ta caaare it 's, 3
of princess mi amore cadenza, 3
i 'm so sorry to, 3
and do a little shake, 3
right here at the gala, 3
how can there be two, 3
