sequence, count
i do n't know, 31
we 've got to, 28
get out of here, 24
what 's going on, 20
we 're gon na, 17
what are you doing, 15
the rainbow of light, 13
i 'm gon na, 13
we 'll have to, 12
do n't want to, 12
we 've got ta, 11
back to paradise estate, 11
've got to get, 11
you 're gon na, 10
yeah yeah yeah yeah, 10
no no no no, 10
i just do n't, 9
rich we 're rich, 9
the rest of the, 9
i do n't think, 9
what 's the matter, 9
you 've got to, 9
we 're rich we, 9
what do you think, 9
the rest of you, 9
you can do it, 9
why do n't you, 9
're rich we 're, 9
i think it 's, 8
have to do is, 8
come on let 's, 8
do n't wan na, 8
let 's do it, 7
i 'll get it, 7
are you all right, 7
i 've got a, 7
glad to see you, 7
the realm of darkness, 7
shoo-bee-doo shoop-shoop-bee-doo shoo-bee-doo shoop-shoop-bee-doo, 7
i 'm going to, 7
i have an idea, 7
we do n't want, 6
what do we do, 6
the land of legends, 6
i 'll take you, 6
i 've got to, 6
it 's almost sunset, 6
we 'll find a, 6
do n't know what, 6
's gon na be, 6
let 's go to, 6
and i ca n't, 6
're gon na have, 6
we 're going to, 6
's going on here, 6
the volcano of gloom, 6
get the sunstone back, 6
we do n't know, 6
are we going to, 6
are we gon na, 6
we gon na do, 6
there 's still time, 6
there must be something, 6
we have to do, 5
'll find a way, 5
gon na have to, 5
it does n't look, 5
what are we waiting, 5
we 'll never get, 5
of the flutter ponies, 5
us out of here, 5
what are we gon, 5
let 's get out, 5
on let 's go, 5
i do n't believe, 5
we do n't have, 5
go back to paradise, 5
i do n't want, 5
flutter valley will be, 5
's worth a try, 5
are we waiting for, 5
it wo n't be, 5
's get out of, 5
's got to be, 5
the flutter ponies are, 5
i ca n't fly, 5
if we do n't, 5
what 's wrong with, 5
we 're looking for, 5
i know it 's, 5
are you going to, 5
'll take care of, 5
you have to do, 5
to paradise estate and, 4
thank you thank you, 4
i 've got it, 4
now let 's get, 4
i do n't wan, 4
come on come on, 4
something we can do, 4
i ca n't do, 4
you gon na do, 4
how to be a, 4
show us the way, 4
we just have to, 4
's our only chance, 4
it 's worth a, 4
i 'll do it, 4
i just know it, 4
ca n't do that, 4
you come with me, 4
know what to do, 4
that 's where we, 4
to get out of, 4
it 's our only, 4
back to flutter valley, 4
the heart of ponyland, 4
'll take you to, 4
what happened to the, 4
this is no time, 4
be something we can, 4
must be something we, 4
there 's nothing to, 4
megan and the others, 4
the only thing that, 4
all you have to, 4
i did n't see, 4
be around here somewhere, 4
do a good deed, 4
just do n't know, 4
come on you can, 4
it 's hard to, 4
find a way to, 4
're gon na be, 4
wo n't be long, 4
i wish i wish, 4
did n't mean to, 4
all we have to, 4
what 's happened to, 4
but i 'm not, 4
are you doing here, 4
then let 's go, 4
bumble and her bees, 4
is no time for, 4
what do you want, 4
do you think you, 4
i 'm so sorry, 4
to get the sunstone, 4
we got ta get, 4
i 'll take care, 4
do n't have any, 4
i think we 're, 4
do n't believe it, 4
how do we get, 4
what would we get, 4
we have to get, 4
we need your help, 4
you and your friends, 4
watch where you 're, 4
we 'll have a, 4
we ca n't let, 4
i 'll find it, 4
i 've never seen, 4
got to do something, 3
we 'll help you, 3
of the magic wands, 3
dark dank and dreary, 3
i 'm really sorry, 3
this is so exciting, 3
do n't get it, 3
it 's just that, 3
bumbleland 's on fire, 3
there 's only one, 3
will be no more, 3
oh i ca n't, 3
n't know if i, 3
're looking for a, 3
we can get out, 3
've got to rescue, 3
do n't think so, 3
it 's my turn, 3
it 's getting dark, 3
what am i going, 3
but i do n't, 3
turn ponyland into glass, 3
let 's go home, 3
've got ta stop, 3
what are we going, 3
get away from me, 3
once in a while, 3
in the land of, 3
too late too late, 3
thanks for your help, 3
do n't give up, 3
this is your last, 3
ponies and their friends, 3
i have a feeling, 3
she hates me not, 3
it 's all right, 3
i 'm sorry i, 3
hey watch where you, 3
out a way to, 3
to be around here, 3
ca n't catch me, 3
hates me she hates, 3
it ca n't be, 3
i need your help, 3
we 'll be back, 3
i did n't mean, 3
do n't do it, 3
it 's too bad, 3
might be able to, 3
i 'll get the, 3
get the flutter ponies, 3
do n't know where, 3
no time for thanks, 3
do n't know how, 3
did you see that, 3
you think you 're, 3
but i ca n't, 3
if only i could, 3
do n't you worry, 3
i 'll show you, 3
it 's no use, 3
you do n't want, 3
we going to do, 3
it 's so beautiful, 3
've got an idea, 3
book of lost answers, 3
ca n't give up, 3
i do n't care, 3
get the sunstone and, 3
've got to be, 3
's still time to, 3
i 've got an, 3
